prob,error,minimum,feval,niter,convergence
cubic_-6.5_-9.0_-0.5_3.0_1000_130.csv,4.997005474294269e-6,1.449384002312971e-8,497.0,274,true
cubic_6.5_-9.5_10.0_-6.5_350_35.csv,9.509343565916595e-6,1.3695185320141425e-8,715.0,400,true
cubic_-7.0_1.0_0.5_-5.5_400_52.csv,6.736685991270974e-6,8.067738582530204e-9,498.0,285,true
cubic_-7.0_-2.0_3.5_-8.0_250_15.csv,8.548958021492581e-7,2.165689399824127e-9,621.0,349,true
cubic_-7.0_2.5_-9.5_6.5_600_132.csv,3.0478398906907955e-6,4.076173672252692e-9,723.0,413,true
cubic_7.0_-4.0_4.5_5.0_200_20.csv,7.843790334582934e-6,4.989402795831703e-9,572.0,326,true
cubic_7.0_4.5_-3.5_-9.5_350_32.csv,2.538652297268129e-6,4.237908726389747e-9,486.0,278,true
cubic_-7.0_6.0_6.0_1.0_500_45.csv,1.0440403906852858e-5,3.692443010171441e-8,617.0,352,true
cubic_-7.0_-7.0_-6.5_0.5_750_142.csv,5.714470983519959e-6,4.904327975231937e-9,490.0,280,true
cubic_7.0_7.0_7.5_2.0_1000_140.csv,3.669194872824022e-6,1.8982187956292982e-8,516.0,291,true
cubic_-7.0_8.5_10.0_6.0_750_68.csv,5.119910930773131e-7,1.412801025105306e-9,752.0,424,true
cubic_7.0_9.0_8.0_-1.5_650_136.csv,8.924154863976241e-6,4.3630151153957806e-8,684.0,381,true
cubic_7.0_-9.0_-8.5_-1.0_200_34.csv,7.330840601227351e-6,1.3967450739207976e-8,428.0,243,true
cubic_-7.0_9.5_-7.5_-5.5_150_8.csv,1.346476026942156e-5,4.652265439555975e-9,496.0,272,true
cubic_7.5_-10.0_-6.0_0.5_150_16.csv,7.676494048758364e-6,8.238048421087864e-9,626.0,353,true
cubic_7.5_-2.5_-7.0_4.0_700_154.csv,2.221860241569118e-6,6.166883660325465e-9,654.0,365,true
cubic_-7.5_-3.0_-4.5_-9.5_750_53.csv,3.2058300476478507e-6,4.55500266909609e-9,786.0,440,true
cubic_-7.5_6.5_6.5_-6.0_550_99.csv,4.064315064056245e-6,1.0575316536514547e-8,469.0,268,true
cubic_7.5_-7.0_9.0_9.0_900_225.csv,1.0056313541895179e-6,2.6213270912581257e-9,705.0,399,true
cubic_-7.5_-8.0_-2.5_-5.0_350_84.csv,8.763200143266332,220.91468783071096,593.0,332,true
cubic_7.5_-8.0_4.0_7.5_550_82.csv,1.5654280307586532e-6,5.210785906777401e-9,763.0,420,true
cubic_8.0_10.0_0.0_4.5_500_85.csv,2.922762327273176e-6,6.342942095870702e-9,672.0,383,true
cubic_-8.0_10.0_9.5_8.5_950_162.csv,9.074791419649841e-6,1.8943147522217874e-9,546.0,309,true
cubic_8.0_-2.0_1.0_7.5_700_126.csv,4.606320627598137e-6,1.0046039317519353e-8,559.0,319,true
cubic_-8.0_-2.0_-4.5_7.0_200_32.csv,1.8441110267275462e-5,1.2809660262721572e-8,558.0,316,true
cubic_8.0_-2.5_10.0_-2.0_600_48.csv,4.431996748266442e-6,7.92652336792137e-9,559.0,316,true
cubic_-8.0_-4.0_7.5_7.0_950_238.csv,3.9669787739171625e-6,7.471103111835017e-9,495.0,274,true
cubic_8.0_-4.0_-9.5_2.5_250_58.csv,5.566270121715178e-6,5.5711782696452646e-9,524.0,301,true
cubic_8.0_5.0_2.0_7.0_750_150.csv,1.2368423787378902e-5,4.111569627065455e-9,531.0,303,true
cubic_8.0_6.5_-1.0_8.0_700_112.csv,2.3831531730245104e-6,4.464916596652058e-9,541.0,304,true
cubic_8.0_8.0_-9.5_5.5_900_225.csv,1.0635706892969665e-6,2.676444651369754e-9,937.0,535,true
cubic_8.5_1.0_7.0_6.0_500_85.csv,5.628860304973671e-6,6.846920796956974e-9,582.0,322,true
cubic_-8.5_-2.0_-1.0_2.5_500_110.csv,4.049801439975909e-6,3.2444615975656954e-9,521.0,291,true
cubic_-8.5_3.0_-2.5_9.5_400_96.csv,4.5825434114021846e-6,8.972215924822785e-9,569.0,318,true
cubic_-8.5_-3.0_6.5_3.0_250_20.csv,6.544555984255851e-6,1.012644501977393e-8,681.0,384,true
cubic_8.5_3.5_-3.0_-5.5_850_178.csv,2.6347137449533875e-6,4.147121649453047e-9,633.0,353,true
cubic_-8.5_4.5_-1.5_5.0_950_171.csv,1.7769567719483348e-6,1.358592736434954e-8,557.0,310,true
cubic_-8.5_5.0_1.0_2.5_900_207.csv,4.778759966628243e-7,2.0241855470778935e-9,721.0,396,true
cubic_8.5_-6.5_9.0_10.0_600_150.csv,2.9043564984121417e-6,7.762585127883807e-9,606.0,345,true
cubic_8.5_7.5_10.0_-3.5_800_72.csv,3.8017897354691854e-6,1.3589258397708258e-8,712.0,390,true
cubic_8.5_-8.5_3.0_-1.0_800_80.csv,3.375611223432884e-6,7.094755583212689e-9,482.0,269,true
cubic_8.5_8.5_-3.5_2.5_100_14.csv,9.461329039480749,2842.0776286780138,437.0,242,true
cubic_-8.5_9.0_6.0_-1.0_750_105.csv,1.8590331574142027e-6,1.3142649542789686e-8,763.0,422,true
cubic_-8.5_9.0_-6.5_8.5_650_98.csv,4.5243994328814097e-7,4.996768653752541e-9,843.0,480,true
cubic_8.5_9.5_-0.5_6.5_1000_60.csv,2.384500926710942e-6,1.1413685561127568e-8,833.0,462,true
cubic_8.5_9.5_-4.5_6.0_800_144.csv,6.658043309570871e-6,8.876005253046684e-9,435.0,247,true
cubic_-8.5_-9.5_-9.5_-2.5_450_81.csv,1.823995534167011e-6,8.692799463978072e-9,532.0,304,true
cubic_-9.0_1.5_-2.0_7.0_1000_140.csv,2.0334690784551412e-6,4.310894027710847e-9,746.0,425,true
cubic_9.0_-1.5_6.5_5.0_150_32.csv,8.850316025821314e-6,3.860956041844018e-9,626.0,349,true
cubic_9.0_2.0_-10.0_0.0_150_33.csv,3.3387805242278538e-6,1.6397739384261733e-8,733.0,420,true
cubic_9.0_-3.0_7.5_-0.5_400_72.csv,5.258107437455806e-6,5.839103054332519e-9,619.0,350,true
cubic_9.0_4.0_-6.5_-1.0_800_80.csv,2.4223643535492556e-6,4.879390461677217e-9,686.0,388,true
cubic_-9.0_-5.5_-9.0_-4.0_350_38.csv,6.806664632819093e-6,5.220068767761821e-9,605.0,340,true
cubic_9.5_0.0_4.5_-2.0_200_48.csv,6.041782130150608e-6,3.541702535317143e-9,482.0,268,true
cubic_-9.5_0.0_-7.5_2.0_500_35.csv,3.7820102303243175e-6,3.767886846853285e-9,429.0,240,true
cubic_9.5_0.5_-10.0_10.0_850_51.csv,1.6420836885799872e-6,1.7146502650102127e-9,697.0,395,true
